epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7441176176071167,0.0010000000474974513,0.6732401251792908,0.796875,0.4561546742916107
1,0.8147059082984924,0.0010000000474974513,0.44611871242523193,0.8463541865348816,0.30756211280822754
0,0.7036764621734619,0.0010000000474974513,0.6395021080970764,0.7161458134651184,0.7933922410011292
0,0.7250000238418579,0.0010000000474974513,0.6218833327293396,0.7760416865348816,0.48248088359832764
1,0.7632352709770203,0.0010000000474974513,0.5142812132835388,0.6927083134651184,0.6187002062797546
2,0.8011029362678528,0.0010000000474974513,0.4228990375995636,0.765625,0.4792896509170532
3,0.8294117450714111,0.0010000000474974513,0.3742595613002777,0.796875,0.3953205645084381
4,0.8386029601097107,0.0010000000474974513,0.3542538583278656,0.828125,0.3569432497024536
5,0.8658088445663452,0.0010000000474974513,0.31763675808906555,0.8385416865348816,0.35211899876594543
6,0.8680146932601929,0.0010000000474974513,0.3023798167705536,0.84375,0.3558781147003174
7,0.8757352828979492,0.0010000000474974513,0.2929932177066803,0.8489583134651184,0.4113292694091797
8,0.8882352709770203,0.0010000000474974513,0.26471972465515137,0.7526041865348816,0.8693399429321289
9,0.8746323585510254,0.0010000000474974513,0.27220606803894043,0.8854166865348816,0.24066050350666046
